
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-08-22 02:55:49 /api/venues ............................................................................. ~ 1dt
  2026-08-22 02:55:49 /api/editions ........................................................................... ~ 1dt
  2026-08-22 02:55:50 /api/content/home-hero ............................................................. ~ 512.21ms
  2026-08-22 02:55:50 /api/competitions ....................................................................... ~ 1dt
  2026-08-22 02:55:51 /api/venues ............................................................................. ~ 1dt
  2026-08-22 02:55:51 /api/content/landing-extras ............................................................. ~ 1dt
  2026-08-22 02:55:51 /api/competitions ....................................................................... ~ 1dt
  2026-08-22 02:55:52 /api/content/landing-extras ............................................................. ~ 1dt
  2026-08-22 02:55:52 /api/competitions ....................................................................... ~ 1dt
  2026-08-22 02:55:53 /api/competition-types .................................................................. ~ 1dt
  2026-08-22 02:55:54 /api/editions ........................................................................... ~ 1dt
  2026-08-22 02:55:54 /api/content/home-hero .................................................................. ~ 1dt
  2026-08-22 02:55:55 /api/competitions ....................................................................... ~ 1dt
  2026-08-22 02:55:55 /api/competition-types .................................................................. ~ 1dt
  2026-08-22 02:55:56 /api/editions ...................................................................... ~ 515.27ms
  2026-08-22 02:55:56 /api/content/home-hero .................................................................. ~ 1dt
  2026-08-22 02:55:57 /api/content/landing-extras ............................................................. ~ 1dt
  2026-08-22 02:55:57 /api/venues ............................................................................. ~ 1dt
  2026-08-22 02:55:58 /api/competitions ....................................................................... ~ 1dt
  2026-08-22 02:55:58 /api/venues ............................................................................. ~ 1dt
  2026-08-22 02:55:59 /api/content/landing-extras ............................................................. ~ 1dt
  2026-08-22 02:56:00 /api/competitions ....................................................................... ~ 1dt
  2026-08-22 02:56:00 /api/competition-types .................................................................. ~ 1dt
  2026-08-22 02:56:01 /api/editions ........................................................................... ~ 1dt
  2026-08-22 02:56:01 /storage/site-content/sponsors/HJwRMAquacyv7EATXHGw70WmTEp685zcdqi0AGUF.jpg ............. ~ 3dt
  2026-08-22 02:56:02 /api/competition-types .................................................................. ~ 3dt
  2026-08-22 02:56:04 /api/competitions ....................................................................... ~ 1dt
  2026-08-22 02:56:05 /api/editions ........................................................................... ~ 1dt
  2026-08-22 02:56:06 /api/content/home-hero .................................................................. ~ 1dt
  2026-08-22 02:56:07 /api/competitions ....................................................................... ~ 1dt
  2026-08-22 02:56:07 /api/venues ............................................................................. ~ 1dt
  2026-08-22 02:56:08 /storage/site-content/sponsors/Xh2SyV52eJYwrNOfAum4WEcogCnOtK7Tt9UhWfnS.png ............. ~ 1dt
  2026-08-22 02:56:09 /api/content/landing-extras ............................................................. ~ 1dt
  2026-08-22 02:56:10 /api/manage/dashboard ................................................................... ~ 1dt
  2026-08-22 02:56:10 /api/manage/competitions ................................................................ ~ 1dt
  2026-08-22 02:56:11 /api/manage/notifications ............................................................... ~ 1dt
  2026-08-22 02:56:11 /api/manage/editions ............................................................... ~ 512.82ms
  2026-08-22 02:56:12 /api/manage/dashboard .............................................................. ~ 515.79ms
  2026-08-22 02:56:12 /api/manage/competitions ................................................................ ~ 1dt
  2026-08-22 02:56:12 /api/competitions ....................................................................... ~ 1dt
  2026-08-22 02:56:13 /api/login .............................................................................. ~ 1dt
  2026-08-22 02:56:13 /api/competition-types .................................................................. ~ 1dt
  2026-08-22 02:56:14 /api/editions ........................................................................... ~ 1dt
  2026-08-22 02:56:15 /api/manage/notifications ............................................................... ~ 1dt
  2026-08-22 02:56:15 /api/manage/editions .................................................................... ~ 1dt
  2026-08-22 02:56:15 /api/manage/dashboard ................................................................... ~ 1dt
  2026-08-22 02:56:16 /api/manage/competitions ........................................................... ~ 516.78ms
  2026-08-22 02:56:16 /api/manage/notifications ............................................................ ~ 1.18ms
  2026-08-22 02:56:16 /api/manage/editions ............................................................... ~ 513.10ms
