
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-08-27 14:31:22 /api/manage/registrations .......................................................... ~ 507.57ms
  2026-08-27 14:31:22 /api/manage/editions ................................................................. ~ 0.86ms
  2026-08-27 14:31:22 /api/manage/editions ............................................................... ~ 505.71ms
  2026-08-27 14:31:23 /api/manage/registrations .......................................................... ~ 507.17ms
  2026-08-27 14:32:29 /api/manage/registration-competitions ................................................ ~ 1.88ms
  2026-08-27 14:32:29 /api/manage/registration-competitions ................................................ ~ 0.12ms
  2026-08-27 14:32:29 /api/manage/editions ............................................................... ~ 510.48ms
  2026-08-27 14:32:29 /api/manage/editions ............................................................... ~ 511.59ms
  2026-08-27 14:32:29 /api/manage/registration-competitions ................................................ ~ 1.92ms
  2026-08-27 14:32:29 /api/manage/registrations ............................................................ ~ 0.97ms
  2026-08-27 14:32:29 /api/manage/registration-competitions .............................................. ~ 507.19ms
  2026-08-27 14:32:29 /api/manage/editions ............................................................... ~ 507.32ms
  2026-08-27 14:32:29 /api/manage/editions ................................................................. ~ 0.93ms
  2026-08-27 14:32:30 /api/manage/registrations ............................................................ ~ 1.04ms
  2026-08-27 14:32:47 /api/manage/registration-competitions ................................................ ~ 1.99ms
  2026-08-27 14:32:47 /api/manage/registration-competitions ................................................ ~ 3.52ms
  2026-08-27 14:32:47 /api/manage/editions ................................................................. ~ 4.09ms
  2026-08-27 14:32:47 /api/manage/editions ................................................................. ~ 1.91ms
  2026-08-27 14:32:47 /api/manage/registration-competitions .............................................. ~ 506.57ms
  2026-08-27 14:32:47 /api/manage/registration-competitions .............................................. ~ 506.36ms
  2026-08-27 14:32:47 /api/manage/registrations ............................................................ ~ 0.80ms
  2026-08-27 14:32:47 /api/manage/editions ............................................................... ~ 512.57ms
  2026-08-27 14:32:47 /api/manage/editions ............................................................... ~ 513.92ms
  2026-08-27 14:32:48 /api/manage/registrations ............................................................ ~ 1.90ms
  2026-08-27 14:33:52 /api/manage/registration-competitions .............................................. ~ 511.55ms
  2026-08-27 14:33:52 /api/manage/registration-competitions ................................................... ~ 1dt
  2026-08-27 14:33:52 /api/manage/editions .................................................................... ~ 1dt
  2026-08-27 14:33:52 /api/manage/editions .................................................................... ~ 1dt
  2026-08-27 14:33:52 /api/manage/registrations ............................................................... ~ 1dt
  2026-08-27 14:33:53 /api/manage/registration-competitions .............................................. ~ 521.69ms
  2026-08-27 14:33:54 /api/manage/registration-competitions ................................................... ~ 1dt
  2026-08-27 14:33:54 /api/manage/editions .................................................................... ~ 1dt
  2026-08-27 14:33:55 /api/manage/editions .................................................................... ~ 1dt
  2026-08-27 14:33:55 /api/manage/registrations ............................................................... ~ 1dt
  2026-08-27 14:38:32 /api/competitions ....................................................................... ~ 1dt
